RUSSELLJONES|01:508:201:01|3.64|3.95|4.09|4.61|4.14|3.80|3.93|3.64|3.70|3.61
ANDERSON C|01:508:205:03|4.92|5.00|4.75|5.00|4.67|4.83|4.83|3.50|4.92|4.83
COOPER|01:508:220:01|4.19|4.16|3.68|4.19|4.11|3.65|3.53|3.41|3.68|3.47
LEE|01:508:240:01|4.33|4.52|4.44|4.74|4.63|4.15|4.48|3.52|4.30|4.19
ARIAS|01:508:271:01|4.50|4.50|3.75|4.75|4.25|3.25|4.25|4.75|3.25|4.00
ELLER|01:508:272:01|3.67|3.33|3.33|2.67|2.33|2.67|3.33|2.00|2.67|2.67
GRIBETZ|01:508:300:01|4.42|3.84|3.74|4.16|4.67|3.37|4.11|4.32|3.37|3.42
BROWN|01:508:318:01|4.50|4.00|4.50|4.00|4.50|5.00|5.00|2.50|4.50|4.00
LIVINGSTON|01:508:320:01|4.55|4.65|4.48|4.52|4.40|4.17|4.42|3.71|4.45|4.35
GUHA|01:508:335:01|4.67|4.67|4.78|4.78|4.56|4.44|4.78|4.56|4.33|4.22
GUHA|01:508:336:01|4.00|4.17|4.50|4.17|4.17|4.33|4.33|4.67|4.00|4.00
LIU|01:508:340:01|4.20|3.90|3.60|4.05|3.95|3.40|4.00|3.40|3.70|3.55
LEE S|01:508:341:01|4.41|4.45|4.18|4.68|4.36|4.05|4.05|4.09|4.27|4.27
TRINER G|01:508:360:01|4.11|3.89|3.44|3.89|3.56|3.44|3.78|4.44|3.67|3.33
KAPLAN|01:508:369:01|3.90|4.40|4.30|4.40|4.22|3.80|3.50|3.30|3.60|3.70
FUENTES|01:508:374:01|4.79|4.79|4.89|4.79|4.58|4.74|4.79|4.21|4.63|4.58
GRIBETZ|01:508:391:01|4.37|4.47|4.16|4.34|4.24|3.95|4.20|4.15|3.98|3.92
MAKALANI|01:508:391:03|4.37|4.47|4.16|4.34|4.24|3.95|4.20|4.15|3.98|3.92
BASHI G|01:508:391:05|4.37|4.47|4.16|4.34|4.24|3.95|4.20|4.15|3.98|3.92
HAGHANI|01:508:391:06|4.37|4.47|4.16|4.34|4.24|3.95|4.20|4.15|3.98|3.92
HAGHANI|01:508:391:07|4.37|4.47|4.16|4.34|4.24|3.95|4.20|4.15|3.98|3.92
KUMAR DEEPA|01:508:391:08|4.37|4.47|4.16|4.34|4.24|3.95|4.20|4.15|3.98|3.92
LIU|01:508:391:10|4.37|4.47|4.16|4.34|4.24|3.95|4.20|4.15|3.98|3.92
RODEN D|01:508:450:01|4.70|4.83|4.70|4.78|4.83|4.52|4.61|4.57|4.65|4.70
BUTLER K|01:508:468:01|4.33|4.33|4.53|4.47|4.07|4.20|4.14|3.36|4.20|4.21
