TAHERINEJAD M|01:750:123:05|3.91|3.86|3.83|4.04|4.28|3.70|3.46|3.74|3.73|3.80|4.39|3.72
KOJIMA H|01:750:123:10|3.91|3.86|3.83|4.04|4.28|3.70|3.46|3.74|3.73|3.80|4.39|3.72
TAHERINEJAD M|01:750:123:16|3.91|3.86|3.83|4.04|4.28|3.70|3.46|3.74|3.73|3.80|4.39|3.72
ZAMICK L|01:750:123:17|3.91|3.86|3.83|4.04|4.28|3.70|3.46|3.74|3.73|3.80|4.39|3.72
ZAMICK L|01:750:123:18|3.91|3.86|3.83|4.04|4.28|3.70|3.46|3.74|3.73|3.80|4.39|3.72
ZAMICK L|01:750:123:26|3.91|3.86|3.83|4.04|4.28|3.70|3.46|3.74|3.73|3.80|4.39|3.72
LEATH P|01:750:161:00|4.29|4.21|3.66|4.24|4.21|3.76|3.40|2.74|3.62|3.46|4.67|3.64|3.82|4.05|4.29|3.67
LEATH P|01:750:161:00|4.29|4.21|3.66|4.24|4.21|3.76|3.40|2.74|3.62|3.46|4.67|3.64|3.82|4.05|4.29|3.67
LEATH P|01:750:161:00|4.29|4.21|3.66|4.24|4.21|3.76|3.40|2.74|3.62|3.46|4.67|3.64|3.82|4.05|4.29|3.67
LEATH P|01:750:161:00|4.29|4.21|3.66|4.24|4.21|3.76|3.40|2.74|3.62|3.46|4.67|3.64|3.82|4.05|4.29|3.67
LEATH P|01:750:161:00|4.29|4.21|3.66|4.24|4.21|3.76|3.40|2.74|3.62|3.46|4.67|3.64|3.82|4.05|4.29|3.67
LEATH P|01:750:161:00|4.29|4.21|3.66|4.24|4.21|3.76|3.40|2.74|3.62|3.46|4.67|3.64|3.82|4.05|4.29|3.67
LEATH P|01:750:161:00|4.29|4.21|3.66|4.24|4.21|3.76|3.40|2.74|3.62|3.46|4.67|3.64|3.82|4.05|4.29|3.67
LEATH P|01:750:161:00|4.29|4.21|3.66|4.24|4.21|3.76|3.40|2.74|3.62|3.46|4.67|3.64|3.82|4.05|4.29|3.67
KLOET W|01:750:161:01|4.36|4.40|4.03|4.50|4.61|4.21|3.75|2.82|4.17|3.75|4.08|3.61
KALE  A|01:750:161:04|4.36|4.40|4.03|4.50|4.61|4.21|3.75|2.82|4.17|3.75|4.08|3.61
KALE A|01:750:161:06|4.36|4.40|4.03|4.50|4.61|4.21|3.75|2.82|4.17|3.75|4.08|3.61
KALE A|01:750:161:09|4.36|4.40|4.03|4.50|4.61|4.21|3.75|2.82|4.17|3.75|4.08|3.61
GENTILE M|01:750:193:00|4.57|4.54|4.16|4.65|4.33|3.71|3.67|2.86|3.98|3.57|4.93|2.57|3.11|3.59|3.42|3.58
GENTILE M|01:750:193:00|4.57|4.54|4.16|4.65|4.33|3.71|3.67|2.86|3.98|3.57|4.93|2.57|3.11|3.59|3.42|3.58
