Eleswarapu U.|01:450:101:01|4.31|4.08|3.84|4.16|4.25|3.46|3.58|2.90|3.65|3.57
Nisa R.|01:450:102:01|4.18|4.22|4.03|4.17|4.12|3.85|3.82|3.49|3.92|3.79
Nisa R.|01:450:103:01|4.43|4.34|4.25|4.34|4.23|4.06|3.89|3.54|4.13|3.99
Tung I.|01:450:103:04|4.43|4.34|4.25|4.34|4.23|4.06|3.89|3.54|4.13|3.99
Tung I.|01:450:103:05|4.43|4.34|4.25|4.34|4.23|4.06|3.89|3.54|4.13|3.99
Legrid J.|01:450:205:01|4.17|4.17|4.00|4.34|4.40|3.97|4.14|3.57|3.97|3.91
Schroeder R|01:450:214:01|4.58|4.54|4.49|4.51|4.50|4.33|4.38|4.01|4.23|4.41|4.56
Bender T.|01:450:240:01|4.67|4.90|4.71|4.95|4.80|4.55|4.43|4.02|4.62|4.52
Mitchell J.|01:450:311:01|4.45|4.27|4.27|4.18|4.30|4.00|4.00|4.09|4.27|4.00
Myers J.|01:450:321:01|4.79|4.84|4.50|4.84|4.77|4.60|4.58|4.10|4.57|4.37
Leichenko R.|01:450:330:01|4.70|4.80|4.70|4.90|4.90|4.70|4.70|4.11|4.70|4.70
Earp COLLEEN M.|01:450:331:01|4.75|4.75|4.75|4.75|4.75|4.75|4.50|4.25|4.50|4.50
Lopez Marrero T.|01:450:335:01|4.73|4.73|4.64|4.73|4.45|4.45|4.45|4.00|4.55|4.45
Lerner  A.|01:450:336:01|4.71|4.57|4.71|4.43|4.14|4.43|4.43|4.83|4.43|4.29
Birkenholtz T.|01:450:341:01|4.87|4.67|4.40|4.80|4.47|4.47|4.40|3.57|4.60|4.53
Zader A|01:450:342:01|5.00|5.00|4.75|5.00|5.00|5.00|4.75|4.25|4.75|4.75
Siegel M.|01:450:355:01|3.88|3.63|3.88|3.88|3.63|3.50|3.63|3.75|3.25|3.50
Ghertner A.|01:450:363:01|5.00|5.00|4.91|5.00|4.96|4.91|4.91|3.87|5.00|4.87
Robinson D.|01:450:413:01|4.88|4.88|4.88|4.88|5.00|4.88|5.00|4.38|4.88|4.75
