Musumeci-Szabo T|01:830:101:01|4.64|4.56|4.53|4.62|4.55|4.33|4.28|4.03|4.34|4.29
NOLAN B|01:830:101:02|4.64|4.56|4.53|4.62|4.55|4.33|4.28|4.03|4.34|4.29
LEYTON M|01:830:101:03|4.64|4.56|4.53|4.62|4.55|4.33|4.28|4.03|4.34|4.29
BRILL G|01:830:101:09|4.64|4.56|4.53|4.62|4.55|4.33|4.28|4.03|4.34|4.29
Musumeci-Szabo T|01:830:101:10|4.64|4.56|4.53|4.62|4.55|4.33|4.28|4.03|4.34|4.29
JACOBS L|01:830:101:11|4.64|4.56|4.53|4.62|4.55|4.33|4.28|4.03|4.34|4.29
INGATE M|01:830:101:12|4.64|4.56|4.53|4.62|4.55|4.33|4.28|4.03|4.34|4.29
BRILL G|NONE|4.64|4.56|4.53|4.62|4.55|4.33|4.28|4.03|4.34|4.29
BRILL G|NONE|4.64|4.56|4.53|4.62|4.55|4.33|4.28|4.03|4.34|4.29
HAMILTON L|01:830:123:01|4.54|4.50|4.48|4.63|4.60|4.37|4.30|4.15|4.30|4.27|4.33
OGILVIE D|01:830:123:01|4.54|4.50|4.48|4.63|4.60|4.37|4.30|4.15|4.30|4.27|4.33
Stein L|01:830:123:01|4.54|4.50|4.48|4.63|4.60|4.37|4.30|4.15|4.30|4.27
Stein L|01:830:123:13|4.54|4.50|4.48|4.63|4.60|4.37|4.30|4.15|4.30|4.27
Stein L|01:830:123:15|4.54|4.50|4.48|4.63|4.60|4.37|4.30|4.15|4.30|4.27
HAMILTON L|NONE|4.54|4.50|4.48|4.63|4.60|4.37|4.30|4.15|4.30|4.27
OGILVIE D|NONE|4.54|4.50|4.48|4.63|4.60|4.37|4.30|4.15|4.30|4.27
Xu Nuo|01:830:200:03|3.74|3.51|3.20|3.59|4.03|3.30|3.47|2.72|3.27|3.33
ACKROFF J|01:830:200:03|3.74|3.51|3.20|3.59|4.03|3.30|3.47|2.72|3.27|3.33
Xu Nuo|01:830:200:04|3.74|3.51|3.20|3.59|4.03|3.30|3.47|2.72|3.27|3.33
Sisti H|01:830:200:11|3.74|3.51|3.20|3.59|4.03|3.30|3.47|2.72|3.27|3.33
ACKROFF J|01:830:200:11|3.74|3.51|3.20|3.59|4.03|3.30|3.47|2.72|3.27|3.33
Sisti H|01:830:200:12|3.74|3.51|3.20|3.59|4.03|3.30|3.47|2.72|3.27|3.33
Sisti H|01:830:200:13|3.74|3.51|3.20|3.59|4.03|3.30|3.47|2.72|3.27|3.33
Sisti H|01:830:200:14|3.74|3.51|3.20|3.59|4.03|3.30|3.47|2.72|3.27|3.33
KOWLER E|01:830:301:01|4.72|4.67|4.69|4.76|4.53|4.55|4.48|3.79|4.54|4.42
KOWLER E|01:830:301:02|4.72|4.67|4.69|4.76|4.53|4.55|4.48|3.79|4.54|4.42
MCGANN J|01:830:301:03|4.72|4.67|4.69|4.76|4.53|4.55|4.48|3.79|4.54|4.42
GLASS A|01:830:303:01|4.35|3.84|3.93|3.73|4.30|3.75|3.79|3.70|3.81|3.84
GLASS A|01:830:303:02|4.35|3.84|3.93|3.73|4.30|3.75|3.79|3.70|3.81|3.84
LESLIE A|01:830:305:01|4.33|4.13|4.23|4.37|4.23|3.99|3.85|3.87|3.91|3.90
