RENNERMALM ASA|01:450:101:01|3.50|3.26|3.04|3.61|3.30|2.69|2.60|2.46|2.63|2.62
ANDRUCKI M|01:450:102:01|3.95|3.60|3.11|3.30|3.54|2.80|2.99|2.79|2.93|2.86
ANDRUCKI M|01:450:103:01|4.02|3.92|3.64|3.97|3.80|3.52|3.42|2.98|3.61|3.47
LOEWEN K|01:450:103:02|4.02|3.92|3.64|3.97|3.80|3.52|3.42|2.98|3.61|3.47
LOEWEN K|01:450:103:06|4.02|3.92|3.64|3.97|3.80|3.52|3.42|2.98|3.61|3.47
Bayouth Neiset|01:450:205:01|4.17|4.06|3.84|4.32|4.10|3.79|3.63|3.59|3.81|3.61
LOPEZ-MARRERO T|01:450:208:01|4.06|4.25|4.00|4.44|4.33|3.88|3.81|3.81|4.06|3.94
BJERKE J|01:450:211:01|3.43|4.14|3.93|4.62|4.43|3.14|3.29|3.46|3.36|3.50
BENDER T.|01:450:240:01|4.73|4.83|4.80|4.97|4.83|4.73|4.50|4.17|4.70|4.66
STMARTIN K|01:450:321:01|4.46|4.34|4.26|4.34|4.37|4.23|4.26|3.69|4.03|4.09
LEICHENKO R|01:450:330:01|4.71|4.71|4.29|4.76|4.53|4.18|4.35|3.65|4.47|4.35
LOPEZ-MARRERO T|01:450:335:01|4.47|4.53|4.53|5.00|4.65|4.35|4.35|3.63|4.41|4.24
SCHNEIDER L|01:450:336:01|4.19|4.00|3.94|4.31|4.06|3.69|4.19|3.88|3.88|3.81
BIRKENHOLTZ T|01:450:341:01|4.68|4.65|4.35|4.65|4.40|4.20|4.20|3.26|4.60|4.25
SIEGEL M|01:450:355:01|4.75|4.88|4.88|4.88|4.63|4.75|5.00|5.00|4.88|4.75
BIRKENHOLTZ T|01:450:405:01|4.70|4.65|4.13|4.70|4.39|4.13|4.35|3.09|4.39|4.04
NORDSTROM, K.|01:450:491:02|4.64|4.55|4.45|4.73|4.55|4.55|4.09|4.36|4.27|4.36
RENNERMALM ASA|01:450:491:03|4.64|4.55|4.45|4.73|4.55|4.55|4.09|4.36|4.27|4.36
LEICHENKO R|01:450:491:04|4.64|4.55|4.45|4.73|4.55|4.55|4.09|4.36|4.27|4.36
