Krishnan K.R.|01:960:211:01|3.45|3.22|3.05|3.62|3.62|2.83|3.00|3.21|2.81|2.94
Agre L.|01:960:211:02|3.45|3.22|3.05|3.62|3.62|2.83|3.00|3.21|2.81|2.94
Dong H K|01:960:211:03|3.45|3.22|3.05|3.62|3.62|2.83|3.00|3.21|2.81|2.94
Popel G|01:960:212:01|4.15|3.98|4.13|4.15|4.23|4.15|3.95|4.08|3.93|3.70
Srinivasan S.|01:960:285:01|4.19|3.95|3.74|3.96|3.91|3.76|3.82|3.15|3.88|3.78
Moondra S.|01:960:285:03|4.19|3.95|3.74|3.96|3.91|3.76|3.82|3.15|3.88|3.78
Moondra S.|01:960:285:04|4.19|3.95|3.74|3.96|3.91|3.76|3.82|3.15|3.88|3.78
Popel G.|01:960:285:05|4.19|3.95|3.74|3.96|3.91|3.76|3.82|3.15|3.88|3.78
Cabrera J.|01:960:379:01|4.08|3.86|3.97|4.39|4.32|3.69|3.51|3.21|3.76|3.71
Gursoy K.|01:960:379:02|4.08|3.86|3.97|4.39|4.32|3.69|3.51|3.21|3.76|3.71
Gundy R.|01:960:381:01|2.04|2.61|2.13|2.91|2.17|1.87|2.17|3.39|1.70|2.09
Tang N.|01:960:390:01|4.58|4.46|3.88|4.31|4.28|4.00|4.12|3.92|4.12|4.27
Tang N.|01:960:390:02|4.58|4.46|3.88|4.31|4.28|4.00|4.12|3.92|4.12|4.27
Lawrence S.|01:960:401:01|3.73|3.33|3.13|3.61|3.86|2.98|3.06|2.98|3.03|3.08
Andriano K.|01:960:401:03|3.73|3.33|3.13|3.61|3.86|2.98|3.06|2.98|3.03|3.08
Miniere M.|01:960:401:04|3.73|3.33|3.13|3.61|3.86|2.98|3.06|2.98|3.03|3.08
Yang G.|01:960:401:05|3.73|3.33|3.13|3.61|3.86|2.98|3.06|2.98|3.03|3.08
Yang X.|01:960:401:06|3.73|3.33|3.13|3.61|3.86|2.98|3.06|2.98|3.03|3.08
Mardekian J.|01:960:463:01|4.22|4.04|3.59|4.19|4.22|3.63|3.61|3.69|3.69|3.70
Hung Y.|01:960:486:01|3.91|3.88|3.44|4.18|3.97|3.45|3.45|3.94|3.65|3.59
